timestamp,instrument_id,instrument_type,instrument_group,index_id,bid_price,bid_volume,ask_price,ask_volume,mid,spread,last_trade_price
1778647045.9038777,NVO,STOCK,NVO,,73.7,628,73.8,200,73.77584541062802,0.09999999999999432,
1778647046.904817,NVO,STOCK,NVO,,73.7,828,73.8,200,73.7805447470817,0.09999999999999432,
1778647047.9057658,NVO,STOCK,NVO,,73.8,625,73.9,200,73.87575757575758,0.10000000000000853,73.8
1778647048.9067178,NVO,STOCK,NVO,,73.7,808,73.8,425,73.7655312246553,0.09999999999999432,73.7
1778647049.9076624,NVO,STOCK,NVO,,73.8,625,73.9,203,73.87548309178744,0.10000000000000853,73.7
1778647050.9086063,NVO,STOCK,NVO,,73.8,625,73.9,203,73.87548309178744,0.10000000000000853,73.7
1778647051.9095573,NVO,STOCK,NVO,,73.8,200,73.9,625,73.82424242424243,0.10000000000000853,73.7
1778647052.9105022,NVO,STOCK,NVO,,73.7,628,73.9,605,73.80186536901866,0.20000000000000284,73.9
1778647053.911456,NVO,STOCK,NVO,,73.7,828,73.8,200,73.7805447470817,0.09999999999999432,73.9
1778647054.9123993,NVO,STOCK,NVO,,73.7,425,73.9,628,73.78072174738843,0.20000000000000284,73.7
1778647055.9133418,NVO,STOCK,NVO,,73.60000000000001,1278,73.7,625,73.66715712033631,0.09999999999999432,73.60000000000001
1778647056.9142878,NVO,STOCK,NVO,,73.7,575,73.8,203,73.77390745501285,0.09999999999999432,73.7
1778647057.9152327,NVO,STOCK,NVO,,73.7,595,73.8,628,73.74865085854456,0.09999999999999432,73.7
1778647058.916178,NVO,STOCK,NVO,,73.7,795,73.8,625,73.75598591549296,0.09999999999999432,73.7
1778647059.9171221,NVO,STOCK,NVO,,73.8,200,73.9,808,73.81984126984126,0.10000000000000853,73.9
1778647060.9180639,NVO,STOCK,NVO,,73.8,625,73.9,425,73.85952380952381,0.10000000000000853,73.9
1778647061.9189904,NVO,STOCK,NVO,,73.8,598,74.0,1125,73.86941381311665,0.20000000000000284,73.8
1778647062.9199367,NVO,STOCK,NVO,,74.0,125,74.10000000000001,200,74.03846153846153,0.10000000000000853,74.0
1778647063.9208736,NVO,STOCK,NVO,,74.0,322,74.10000000000001,700,74.03150684931508,0.10000000000000853,74.0
1778647064.921351,NVO,STOCK,NVO,,73.8,3,73.9,425,73.80070093457944,0.10000000000000853,73.9
1778647065.922299,NVO,STOCK,NVO,,73.9,598,74.0,1125,73.93470690655833,0.09999999999999432,73.9
1778647066.9232473,NVO,STOCK,NVO,,73.8,628,73.9,425,73.85963912630581,0.10000000000000853,73.9
1778647067.924192,NVO,STOCK,NVO,,73.8,625,73.9,925,73.84032258064516,0.10000000000000853,73.9
1778647068.9251363,NVO,STOCK,NVO,,73.7,3,74.0,500,73.70178926441352,0.29999999999999716,74.0
1778647069.9260838,NVO,STOCK,NVO,,73.8,625,73.9,825,73.84310344827587,0.10000000000000853,74.0
1778647070.9270318,NVO,STOCK,NVO,,73.7,828,73.9,825,73.80018148820328,0.20000000000000284,74.0
1778647071.9279783,NVO,STOCK,NVO,,73.7,828,73.9,1325,73.77691593125871,0.20000000000000284,74.0
1778647072.928926,NVO,STOCK,NVO,,73.5,1125,73.7,422,73.64544279250161,0.20000000000000284,73.7
1778647073.9298692,NVO,STOCK,NVO,,73.8,398,73.9,1125,73.82613263296126,0.10000000000000853,73.8
1778647074.930814,NVO,STOCK,NVO,,73.7,610,73.9,1125,73.77031700288184,0.20000000000000284,73.7
1778647075.9313545,NVO,STOCK,NVO,,73.7,574,73.8,200,73.77416020671835,0.09999999999999432,73.7
1778647076.9323,NVO,STOCK,NVO,,73.60000000000001,425,73.8,625,73.68095238095238,0.19999999999998863,73.60000000000001
1778647077.9332416,NVO,STOCK,NVO,,73.60000000000001,622,73.7,825,73.64298548721493,0.09999999999999432,73.60000000000001
1778647078.93417,NVO,STOCK,NVO,,73.7,425,73.8,628,73.74036087369421,0.09999999999999432,73.7
1778647079.93512,NVO,STOCK,NVO,,73.60000000000001,825,73.8,825,73.7,0.19999999999998863,73.7
1778647080.936071,NVO,STOCK,NVO,,73.60000000000001,620,73.7,200,73.67560975609756,0.09999999999999432,73.60000000000001
1778647081.9370236,NVO,STOCK,NVO,,73.5,3,73.60000000000001,825,73.50036231884059,0.10000000000000853,73.60000000000001
1778647082.9379625,NVO,STOCK,NVO,,73.4,200,73.5,622,73.42433090024332,0.09999999999999432,73.5
1778647083.9389088,NVO,STOCK,NVO,,73.4,700,73.5,625,73.45283018867924,0.09999999999999432,73.4
1778647084.9398508,NVO,STOCK,NVO,,73.4,650,73.5,625,73.45098039215686,0.09999999999999432,73.4
1778647085.9407954,NVO,STOCK,NVO,,73.4,560,73.60000000000001,200,73.54736842105264,0.20000000000000284,73.4
1778647086.9413424,NVO,STOCK,NVO,,73.7,405,73.8,500,73.74475138121547,0.09999999999999432,73.7
1778647087.9422913,NVO,STOCK,NVO,,73.4,1125,73.60000000000001,625,73.52857142857144,0.20000000000000284,73.7
1778647088.9432397,NVO,STOCK,NVO,,73.4,925,73.60000000000001,625,73.51935483870969,0.20000000000000284,73.4
1778647089.9441876,NVO,STOCK,NVO,,73.4,500,73.7,3,73.69821073558647,0.29999999999999716,73.4
1778647090.945133,NVO,STOCK,NVO,,73.4,165,73.9,500,73.52406015037594,0.5,73.4
1778647091.946081,NVO,STOCK,NVO,,73.5,425,73.7,625,73.58095238095238,0.20000000000000284,73.5
1778647092.9470217,NVO,STOCK,NVO,,73.5,225,73.7,625,73.55294117647058,0.20000000000000284,73.5
1778647093.9479692,NVO,STOCK,NVO,,73.4,625,73.5,200,73.47575757575757,0.09999999999999432,73.5
1778647094.9489193,NVO,STOCK,NVO,,73.4,300,73.5,625,73.43243243243244,0.09999999999999432,73.4
1778647095.9498684,NVO,STOCK,NVO,,73.2,825,73.4,125,73.37368421052632,0.20000000000000284,73.4
1778647096.9508157,NVO,STOCK,NVO,,73.4,175,73.60000000000001,3,73.59662921348315,0.20000000000000284,73.4
1778647097.9513483,NVO,STOCK,NVO,,73.60000000000001,422,73.8,625,73.68061127029608,0.19999999999998863,73.60000000000001
1778647098.952293,NVO,STOCK,NVO,,73.5,425,73.7,625,73.58095238095238,0.20000000000000284,73.5
1778647099.9532416,NVO,STOCK,NVO,,73.5,200,73.60000000000001,825,73.51951219512195,0.10000000000000853,73.7
1778647100.9541903,NVO,STOCK,NVO,,73.4,500,73.5,625,73.44444444444444,0.09999999999999432,73.4
1778647101.9551406,NVO,STOCK,NVO,,73.4,500,73.5,625,73.44444444444444,0.09999999999999432,73.4
1778647102.9560957,NVO,STOCK,NVO,,73.4,1123,73.60000000000001,625,73.52848970251716,0.20000000000000284,73.4
1778647103.9570463,NVO,STOCK,NVO,,73.4,500,73.7,200,73.61428571428571,0.29999999999999716,73.4
1778647104.9579942,NVO,STOCK,NVO,,73.60000000000001,625,73.7,200,73.67575757575757,0.09999999999999432,73.4
1778647105.9589417,NVO,STOCK,NVO,,73.60000000000001,423,73.8,625,73.68072519083971,0.19999999999998863,73.60000000000001
1778647106.9598908,NVO,STOCK,NVO,,73.5,628,73.60000000000001,425,73.5596391263058,0.10000000000000853,73.60000000000001
1778647107.9608393,NVO,STOCK,NVO,,73.5,623,73.7,825,73.58604972375691,0.20000000000000284,73.5
1778647108.9613485,NVO,STOCK,NVO,,73.60000000000001,425,73.8,625,73.68095238095238,0.19999999999998863,73.60000000000001
1778647109.9623022,NVO,STOCK,NVO,,73.60000000000001,225,73.8,625,73.65294117647059,0.19999999999998863,73.60000000000001
1778647110.9632497,NVO,STOCK,NVO,,73.60000000000001,423,73.8,625,73.68072519083971,0.19999999999998863,73.60000000000001
1778647111.9641943,NVO,STOCK,NVO,,73.7,625,73.8,825,73.74310344827586,0.09999999999999432,73.60000000000001
1778647112.9651334,NVO,STOCK,NVO,,73.7,625,73.9,1125,73.77142857142857,0.20000000000000284,73.8
1778647113.9660792,NVO,STOCK,NVO,,73.7,425,73.9,625,73.78095238095239,0.20000000000000284,73.7
1778647114.967015,NVO,STOCK,NVO,,73.60000000000001,200,73.7,825,73.61951219512196,0.09999999999999432,73.7
1778647115.9679604,NVO,STOCK,NVO,,73.60000000000001,3,73.7,200,73.60147783251233,0.09999999999999432,73.5
1778647116.9689083,NVO,STOCK,NVO,,73.60000000000001,625,73.7,625,73.65,0.09999999999999432,73.5
1778647117.9698505,NVO,STOCK,NVO,,73.60000000000001,426,73.7,625,73.64053282588013,0.09999999999999432,73.60000000000001
1778647118.970798,NVO,STOCK,NVO,,73.4,1305,73.5,122,73.49145059565522,0.09999999999999432,73.4
1778647119.9713464,NVO,STOCK,NVO,,73.7,623,73.8,825,73.74302486187845,0.09999999999999432,73.7
1778647120.9722936,NVO,STOCK,NVO,,73.7,625,73.8,200,73.77575757575758,0.09999999999999432,73.7
1778647121.9732442,NVO,STOCK,NVO,,73.8,125,73.9,200,73.83846153846154,0.10000000000000853,73.8
1778647122.9741933,NVO,STOCK,NVO,,73.8,125,73.9,700,73.81515151515151,0.10000000000000853,73.8
1778647123.9751403,NVO,STOCK,NVO,,73.7,3,73.8,925,73.70032327586206,0.09999999999999432,73.8
1778647124.9760885,NVO,STOCK,NVO,,73.7,628,73.9,1125,73.7716486023959,0.20000000000000284,73.8
1778647125.9770367,NVO,STOCK,NVO,,73.8,623,73.9,1325,73.8319815195072,0.10000000000000853,73.8
1778647126.9779823,NVO,STOCK,NVO,,73.8,423,73.9,1125,73.82732558139534,0.10000000000000853,73.8
1778647127.9789267,NVO,STOCK,NVO,,73.7,828,73.8,825,73.75009074410163,0.09999999999999432,73.8
1778647128.9798696,NVO,STOCK,NVO,,73.7,3,73.8,425,73.70070093457944,0.09999999999999432,73.8
1778647129.980817,NVO,STOCK,NVO,,73.5,625,73.60000000000001,422,73.55969436485196,0.10000000000000853,73.60000000000001
1778647130.9813461,NVO,STOCK,NVO,,73.5,608,73.60000000000001,422,73.5590291262136,0.10000000000000853,73.5
1778647131.9822943,NVO,STOCK,NVO,,73.4,500,73.5,422,73.45422993492409,0.09999999999999432,73.5
1778647132.983247,NVO,STOCK,NVO,,73.5,625,73.7,625,73.6,0.20000000000000284,73.4
1778647133.9841928,NVO,STOCK,NVO,,73.4,1125,73.5,425,73.47258064516129,0.09999999999999432,73.5
